api_key,pin,name,value,date
1,V8,Độ Ẩm Không Khí,33.9,2025-01-06 02:47:49
1,V7,Nhiệt Độ Không Khí,63.4,2025-01-06 02:47:49
1,V5,Nhiệt Độ Nước,21.8,2025-01-06 02:47:49
1,V9,Cảm biến PH,5.8,2025-01-06 02:47:49
1,V6,Ánh sáng,1.8,2025-01-06 02:47:49
1,V8,Độ Ẩm Không Khí,32.2,2025-01-06 02:42:49
1,V7,Nhiệt Độ Không Khí,59.3,2025-01-06 02:42:49
1,V5,Nhiệt Độ Nước,20.7,2025-01-06 02:42:49
1,V9,Cảm biến PH,6.3,2025-01-06 02:42:49
1,V6,Ánh sáng,1.3,2025-01-06 02:42:49
1,V8,Độ Ẩm Không Khí,32.4,2025-01-06 02:37:49
1,V7,Nhiệt Độ Không Khí,60.3,2025-01-06 02:37:49
1,V5,Nhiệt Độ Nước,19.0,2025-01-06 02:37:49
1,V9,Cảm biến PH,6.1,2025-01-06 02:37:49
1,V6,Ánh sáng,7.9,2025-01-06 02:37:49
1,V8,Độ Ẩm Không Khí,33.8,2025-01-06 02:32:49
1,V7,Nhiệt Độ Không Khí,56.6,2025-01-06 02:32:49
1,V5,Nhiệt Độ Nước,21.2,2025-01-06 02:32:49
1,V9,Cảm biến PH,5.8,2025-01-06 02:32:49
1,V6,Ánh sáng,0.3,2025-01-06 02:32:49
1,V8,Độ Ẩm Không Khí,33.1,2025-01-06 02:27:49
1,V7,Nhiệt Độ Không Khí,57.5,2025-01-06 02:27:49
1,V5,Nhiệt Độ Nước,21.4,2025-01-06 02:27:49
1,V9,Cảm biến PH,5.5,2025-01-06 02:27:49
1,V6,Ánh sáng,4.6,2025-01-06 02:27:49
1,V8,Độ Ẩm Không Khí,32.5,2025-01-06 02:22:49
1,V7,Nhiệt Độ Không Khí,57.3,2025-01-06 02:22:49
1,V5,Nhiệt Độ Nước,19.4,2025-01-06 02:22:49
1,V9,Cảm biến PH,5.7,2025-01-06 02:22:49
1,V6,Ánh sáng,2.8,2025-01-06 02:22:49
1,V8,Độ Ẩm Không Khí,32.4,2025-01-06 02:17:49
